cell_id,dist_to_water
1099,389.03669696022604
1100,466.90024591005465
1101,540.9081515983443
1102,851.0050772059082
1103,1184.5295999014193
1104,1563.7113217192295
1105,1578.119793768249
1106,1138.8900783368115
1107,701.2699591132052
1108,273.1147326247492
1109,95.08731105974114
1110,524.1859275288011
1111,963.1805157919114
1112,1403.1304471786798
1113,1843.3525698625667
1114,2161.4707762772678
1115,2098.587214960122
1116,2123.289436832867
1117,2050.138521351285
1118,1948.243435666928
1119,1625.730651873263
1120,1369.387075982699
1121,1220.8591727435335
1122,1062.9648239196313
1123,1007.0967847639615
1124,1056.3375116838192
1125,627.7065274826035
1126,230.2445699396249
1127,302.6902185177631
1128,674.6574771775648
1129,904.4385154385934
1130,595.3823525722909
1131,334.3017440611734
1132,164.4994328634604
1133,81.68415254564853
1134,111.51421139385822
1135,20.267601019208957
1136,190.16156257874118
1137,282.77825508664216
1138,389.0726876370085
1139,156.2030875744209
1140,168.79469607020124
1141,0.0
1142,425.3947132119492
1143,119.20305537668634
1144,159.7477709439128
1145,268.92303934627535
1146,552.707584393129
1147,911.677674469154
1148,540.4311119267131
1149,163.8430890685959
1150,348.16865583098036
1151,652.8585942697828
1152,753.9370415632161
1153,1037.469588487963
1154,1171.2018376064061
1155,995.1876782520849
1156,582.5267748886874
1157,269.294485109678
1158,409.8868279815373
1159,801.2522889743395
1160,679.8410513067552
1161,288.80253745035174
1162,708.9705570885918
1163,597.4233671621711
1164,210.49437461107337
1165,227.21731621875813
1166,663.207109916317
1167,838.3386757913399
1168,467.4251617631952
1169,315.6424114204336
1170,604.8599589879378
1171,975.408793242346
1172,804.7469076078341
1173,689.6052819177244
1174,661.9933201114651
1175,556.7952458319559
1176,451.88503166460146
1177,354.4120528984043
1178,514.0337536616973
1179,407.7183770395833
1180,302.47129857977126
1181,199.25752576003805
1182,437.5770554583707
1183,855.1390539344922
1184,1286.2862036292133
1185,1017.1893414665087
1186,590.5929803841859
1187,210.57688653067228
1188,330.706287954304
1189,359.84412891342413
1190,277.5995221452447
1191,637.9865232205982
1192,1060.3716452117685
1193,1207.6838986124878
1194,929.7602887105687
1195,702.2919109973276
1196,553.1758980946357
1197,561.2662767349168
1198,127.23324690133008
1199,185.9908264162228
1200,553.8688318909445
1201,971.957824106611
1202,1403.812163240266
1203,1685.5697705364457
1204,1266.5759617575068
1205,867.4691079251589
1206,536.2188074424392
1207,453.52872752873714
1208,712.6165864493316
1209,1093.912837472789
1210,1505.8192713756432
1211,1866.7340816684034
1212,1681.9002337266036
1213,1600.2836507717345
1214,1631.1987990535242
1215,1767.288049536752
1216,1664.7034556682393
1217,1298.4796401333094
1218,960.3055242629869
1219,735.5006279253145
1220,614.7406704849438
1221,512.1121950110194
1222,688.1864826866067
1223,475.5534018935093
1224,74.06667099105427
1225,111.27548707860005
1226,449.40410483287684
1227,519.7773490770986
1228,247.751910009977
1229,205.37897459001252
1230,529.8675139671067
1231,337.87952804056846
1232,24.477210292255645
1233,164.2772794073372
1234,312.2914675355863
1235,729.6379836719796
1236,394.98624303768344
1237,106.59766170047995
1238,462.710164431863
1239,476.9310002762262
1240,499.512944155173
1241,576.0420819318811
1242,646.6994807330294
1243,850.0695519281269
1244,1018.6188137974453
1245,619.1957239054418
