cell_id,lst,ndvi,building_density,road_density,lon,lat
132,47.5894959817716,0.1360257870853858,0.0,0.002837398913919,77.22024999999941,28.44275
133,46.30829664118277,0.1411879606851801,0.0,0.0,77.2247499999994,28.44275
134,44.46677561869832,0.1376880024773779,0.0,0.0,77.22924999999941,28.44275
135,44.501459184808674,0.1435246881918851,0.0002517347934272,0.0,77.23374999999939,28.44275
136,43.19603001825004,0.1369559316362663,0.0001525419152454,0.0,77.2382499999994,28.44275
137,43.69026461701991,0.1408308653763512,0.0001274621464833,0.0,77.24274999999938,28.44275
138,46.58947144021936,0.1292120948998572,0.0,0.0077275999638135,77.13024999999956,28.447249999999997
139,45.84709892796229,0.1585822355529061,0.0,0.0169153165017587,77.13474999999956,28.447249999999997
140,44.0383746625051,0.1710330933544734,0.0,0.0301303699825459,77.13924999999956,28.447249999999997
141,45.17088111052448,0.1571323020628902,0.0017739112259636,0.0244113527281381,77.14374999999954,28.447249999999997
142,44.48059441341591,0.1771715479190135,0.0,0.0003201322967392,77.1482499999995,28.447249999999997
143,46.2062141603509,0.1408474939076924,0.0,0.0,77.15274999999953,28.447249999999997
144,45.853707205079466,0.1546064829398299,0.0,0.0070375126812015,77.15724999999952,28.447249999999997
145,43.54297548141584,0.2060536889519238,0.0,0.0020814109799792,77.16174999999951,28.447249999999997
146,42.4177320222726,0.2191727373289169,0.0,0.0128416574489324,77.1662499999995,28.447249999999997
147,42.5597506624976,0.2021530235400321,0.0091121938610676,0.0159237861441541,77.1707499999995,28.447249999999997
