cell_id,lst_night,lst_day_modis
598,25.808000000000025,42.87916129032261
599,25.87800000000002,42.89000000000003
600,26.214000000000027,42.68933333333336
601,26.31000000000003,42.632000000000026
602,26.226000000000035,42.56511111111115
603,26.202000000000034,42.546000000000035
604,26.21444444444448,42.6486666666667
605,26.21800000000004,42.67800000000003
606,26.203774193548423,42.518354838709705
607,26.200000000000035,42.47600000000003
608,18.822000000000024,46.14800000000004
609,19.02788359788363,45.34215873015875
610,19.163333333333373,44.812000000000026
611,19.191182795698964,44.20448387096777
612,19.210000000000036,43.794000000000025
613,26.55000000000001,39.40600000000003
614,26.55000000000001,39.40600000000003
615,,38.40000000000003
616,,39.01597222222225
617,,39.38555555555559
618,,40.11833333333337
619,,40.558000000000035
620,22.810000000000002,40.16600000000003
621,25.798000000000023,42.88800000000003
622,25.240666666666687,42.65193650793654
623,25.00000000000002,42.55000000000003
624,25.00000000000002,43.08498412698416
625,,43.31600000000004
626,20.850000000000023,43.30622222222226
627,20.850000000000023,43.302000000000035
628,22.351587301587326,42.652476190476214
629,23.00000000000003,42.37200000000003
630,22.866406250000022,41.71950000000003
631,22.81000000000002,41.44400000000003
632,23.183214285714318,40.85971428571431
633,23.33250000000004,40.62600000000002
634,24.078766233766263,40.578857142857174
635,24.37727272727275,40.56000000000003
636,24.63181818181821,40.557142857142885
637,24.733636363636393,40.556000000000026
638,25.01721590909094,40.699750000000016
639,25.128181818181847,40.75600000000002
640,25.38307359307362,40.6450158730159
641,25.47727272727276,40.60400000000003
642,25.540995670995702,40.75441269841273
643,25.564545454545485,40.81000000000003
644,25.33089466089469,40.84212698412701
645,25.244545454545484,40.85400000000003
646,25.016488636363665,40.84078125000003
647,24.934000000000026,40.83600000000003
648,25.004126984127012,41.120984126984155
649,25.028000000000027,41.218000000000025
650,25.559174603174636,41.552222222222255
651,25.740000000000038,41.66600000000003
652,26.402476190476225,41.900253968254006
653,26.628000000000032,41.98000000000003
654,26.76750000000003,41.86600000000003
655,26.814000000000032,41.82800000000003
656,25.893280423280455,41.61923809523812
657,25.605555555555586,41.55400000000002
658,25.605555555555586,41.55400000000002
659,25.605555555555586,41.55400000000002
660,25.598275132275162,41.74600000000002
661,25.596000000000032,41.806000000000026
662,25.574562500000035,42.59918750000002
663,25.56800000000003,42.84200000000003
664,25.809111111111136,42.87933333333336
665,25.87800000000002,42.89000000000003
666,26.214000000000027,42.68933333333336
667,26.31000000000003,42.632000000000026
668,26.226000000000035,42.56511111111115
669,26.202000000000034,42.546000000000035
670,26.21450000000004,42.64912500000003
671,26.21800000000004,42.67800000000003
672,26.20371428571432,42.51768253968256
673,26.200000000000035,42.47600000000003
674,25.684126984127012,41.68711111111113
675,19.557419354838732,44.634967741935505
676,19.480000000000018,44.36400000000002
677,19.70920634920638,44.13117460317463
678,19.860000000000042,43.97800000000002
679,18.021694915254262,43.648372881355954
680,16.670000000000016,43.40600000000002
681,19.96741935483874,43.49180645161292
682,22.05000000000004,43.54600000000002
683,19.066190476190503,44.21979894179896
684,17.230000000000018,44.63444444444447
685,17.459047619047638,45.192550264550285
686,17.600000000000023,45.53600000000002
687,17.600000000000023,45.54095238095241
688,,45.54400000000003
689,,44.865903225806484
690,,44.46600000000003
691,,43.813301587301616
692,,43.43800000000003
693,,42.452000000000034
694,24.490585858585895,42.75453333333336
695,24.488181818181854,42.68200000000003
696,24.594848484848516,42.80666666666669
697,25.032000000000032,41.73650000000002
698,25.01800000000003,41.60000000000002
699,25.886322580645196,41.687387096774216
700,26.27000000000004,41.72600000000003
701,26.158253968254005,42.252603174603195
702,26.110000000000042,42.480000000000025
703,24.620052910052934,42.38361904761907
704,23.976666666666688,42.342000000000034
705,24.212264550264575,41.75812698412701
706,24.31400000000003,41.50600000000003
707,24.601483870967773,40.99503225806456
708,24.71909090909094,40.786000000000044
709,24.71909090909094,40.786000000000044
