cell_id,population
713,1887.6645008909938
714,1071.8516385695514
715,1071.4993494968787
716,2620.4881956811046
717,2874.313773181392
718,2139.8690961949965
719,2056.3576501285324
720,2695.291389076383
721,4678.8287977630025
722,4988.640736837947
723,2450.8407004562077
724,3022.8658769495346
725,2437.9818991567577
726,4049.722544711244
727,5808.465169151156
728,6025.631845691155
729,5066.224481021658
730,3663.3194076238897
731,3325.473586198395
732,2604.1985341689165
733,2083.8503741096047
734,1993.6029503915825
735,3280.4284765804514
736,3509.142980298808
737,2262.4979260313744
738,2490.3896590887334
739,4031.0334307203098
740,4490.538693716011
741,4548.772403013941
742,5228.246350636202
743,3957.911969173657
744,4039.2330056882365
745,4049.4014101514626
746,3309.433729553223
747,3620.0491437724995
748,1844.7495956196503
749,695.9091504938463
750,720.8848625706692
751,874.3342083276486
752,870.2147399079566
753,131.11346240698123
754,213.45866790472292
755,529.843802096797
756,1004.516828035841
757,865.9125910254087
758,424.94330159729594
759,236.80236088247858
760,220.09447706446926
761,211.53475617427455
762,208.7271764474757
763,212.8447427992727
764,201.23846992604877
765,201.21214438980704
766,205.10098535874312
767,273.16889461442537
768,383.26740908903236
769,613.8184047773773
770,900.7265255273555
771,701.2248675402474
772,489.7272626502841
773,461.6142888723635
774,872.105650179994
775,654.3537190231623
776,364.2780362634098
777,393.470248151293
778,648.4932270349241
779,723.2352237551821
780,952.6961892071893
781,618.6180658901438
782,592.2273786432602
783,497.8665631200752
784,527.5963934056899
785,706.2318016949822
786,647.9760415245505
787,863.9370472328335
788,1276.0830638810698
789,950.2812952527812
790,843.1372430240407
791,892.1644014321122
792,947.0752927443559
793,1000.1762252957212
794,1027.953558095296
795,969.3470516130036
796,847.4577230116901
797,555.0886475357354
798,353.13563650542613
799,354.32647336698045
